Seq,Phase,Scope,Trigger / Rule,Kind,Fires when,Defined in,What happens — side effects & details,Assessment,To-do (edit me)
94,"10 · Sustentus (exempt)","Sustentus ↔ boards","The runs-visibility skip","Programmed: app + script","Board renders; board script runs","`tickets.ts:656`; `tickets-board.sh:95` — both skip sustentus `runs/`","Both comment `its runs/ holds history, not flight` — but close-out archives merged runs OUT of the tree, so the 6 remaining folders are by construction unmerged (in-flight or stalled; its own triage stub `front-only-runs-never-archived` documents the leak class). Estate strip shows 0 in flight while 6 are open.","Decayed premise — the skip was defensible when written, is half-wrong now (report F5).","Verify the six, then lift or re-justify the skip (cut `doc-truth` 6 + jamienisbet `sustentus-runs-strip`)."
95,"11 · Dashboard reads","Dashboard ↔ every repo","Roster assembly — pinned tier + discovery","Programmed: app","Every board render (cached per clocks)","`tickets.ts` loadRoster/fetchOwnedRepos/probeIntake","Pinned every render: jamienisbet + icm-board (HOUSE), every client-row repo (a connected repo is onboard the moment its first ticket lands), sustentus/sustentus (own org — the owner sweep can`t see it; added explicitly per D13). Hourly: owner listing (most-recently-pushed) + one intake-probe per unpinned repo (present/absent/unknown). Unknown = GitHub declined — repo NAMED on the board, tree call SKIPPED (`firing a fan-out into a limit that just refused a probe is how a bad minute becomes a spent hour`). Sweep failure = banner, board stands on pinned tier.","Excellent — every failure mode of the 403 outage has a named countermeasure; the comments teach the next reader why.","—"
96,"11 · Dashboard reads","Dashboard ↔ every repo","Three cache clocks + the force-cache invariants","Programmed: app","Every GitHub read from the board","`tickets.ts` gh() + constants","POSITION 60s: one recursive tree call per intake repo (what moved). DISCOVERY 1h: which repos exist/carry intake. CONTENT 30d: blob reads BY SHA (content-addressed — can never go stale; the tree read notices changes by handing back a new SHA; only changed files re-read). All reads `cache: force-cache` (revalidate alone doesn`t cache Authorization-bearing requests) + one shared tag (refresh control busts all three); no route may export force-dynamic (would void the lot); only 200s cached (rate-limited reads never stick).","Excellent — the SHA-immutability trick is the house`s best caching idea and the report`s §3 extends it to commits.","History read rides the same module (jamienisbet `board-queries` 2)."
97,"11 · Dashboard reads","Dashboard","Concurrency cap 8 — permit queue","Programmed: app","Every request the module makes","`tickets.ts` acquire/release, MAX_CONCURRENT_REQUESTS","All reads share one permit queue; nothing holds a permit while awaiting another (tree releases before its blob reads start) so the fan-out nests without deadlock. Cap exists because a cold `Promise.all` of 100+ requests hit GitHub`s documented secondary limit and 403`d the whole estate at once.","Good — outage-derived, documented, correct.","—"
98,"11 · Dashboard reads","Dashboard","Failure honesty rules","Programmed: app","Any non-OK response","githubFailure(); EstateRead error surfaces","Rate-limit (403/429 + headers) distinguished from genuine forbidden and worded as `same token, a minute later` with reset ETA; an empty answer is NEVER synthesised from a refused request (`a rate-limited roster read as an estate with no work is exactly how the outage presented`); per-repo failures are banners, not blanks; DB failure is its own banner.","Excellent — the board would rather look broken than lie. This is the fidelity lens implemented in code.","—"
99,"11 · Dashboard reads","Dashboard ↔ every repo","Parse + fold: lenient parsing, positional grouping, batch assembly","Programmed: app","Every board render","tickets.ts parseStub/parseLegacy/fetchRepoTickets/assembleBatches","Lenient everywhere: malformed stubs still render with whatever could be read. `_done/` never fetched. Grouping mirrors the doctrine: blocked line → blocked; epic`s lowest-sequence unblocked → next; open in-epic dependency → blocked with `Waiting on` meta; else queued; triage all next (a pile, not a pipeline). today.md keys override group. Batches: epics ordered by sequence, triage/backlog by priority; planned/done derived from `N of M` (recut-tolerant: planned never below open count); swipe-right starts the batch`s next. Sections ordered by urgency (today > blocked > run-in-flight > name).","Excellent — the board independently re-implements TICKETS.md`s semantics faithfully; it IS a second reference implementation of the contract (undocumented as such — report F10b).","—"
100,"11 · Dashboard reads","Dashboard ↔ estate","today.md fetch — the one estate↔repo flag","Programmed: app + script","Every board render; every icm-board session start","tickets.ts fetchTodayKeys (reads icm-board `.icm/today.md` raw); tickets-board.sh","Parses `- <repo> · <path>` lines into keys; matching tickets get group=today on the board and the strip. Missing/unreachable file = no picks, never an error.","Mechanism fine; flag dead in practice (no writer — rows 43/56).","—"
101,"11 · Dashboard reads","Dashboard ↔ every repo","Maintenance launchers — verbs as human-sent links","Programmed: app (prompt literals)","Jamie taps a maintenance button / epic sheet","tickets.ts repoMaintenanceLaunchers/recutSessionUrl/estateCheckSessionUrl","Per repo: `Triage the backlog` (group one-offs into sequenced epics, tighten what stays, move done) and `Sweep finished work` (verify open stubs/runs against merges, `git mv` finished — verify before moving, unsure=leave open). Per epic: `Recut` (compare breakdown+stubs against current code; refresh/resequence/split/retire; keep the breakdown honest). Board-level: `estate check` (icm-check pass, propose fixes as tickets). All are pre-filled `mode=plan` session links THE HUMAN SENDS.","Good — the read-only-board answer to write actions, and the recut launcher is the staleness tool the handoff needs (nobody uses it habitually yet). Estate-check prompt slightly diverges from the conformance contract (propose-tickets vs run --fix) — footnote-grade.","Make per-epic Recut part of the pick-up habit for aging epics (report §4)."
102,"12 · Estate CI","CI","self-check.yml — every push and PR","Programmed: CI","push/PR to icm-board main","`.github/workflows/self-check.yml`","shellcheck --severity=warning over ALL `_system/scripts/*.sh` + `_system/hooks/*.sh` (`they run against real repos with --fix; a quoting bug here does damage elsewhere`), then self-check.sh. Deliberately no build/lint/test — there is no app code.","Good — proportionate CI for a docs+scripts repo.","—"
103,"12 · Estate CI","CI","self-check.sh rule inventory","Programmed: script","Every CI run + on demand","`_system/scripts/self-check.sh`","LINKS: every relative markdown link in the repo resolves (anchors/URLs skipped). TICKETS (this repo only): nothing loose in intake/; triage stubs lane-tagged + exact `## Prompt`; epic stubs feature-slug==filename + `sequence: n of m` + `## Prompt`; stubs without breakdown.md flagged; today.md entries resolve + ≤10. Exit 1 on any problem = red CI.","Good but has the named blind spot: bare ticket IDs (ICM-005 etc.) are not links, so D14`s dangling references pass (report F9). Prompt regex stricter than hygiene`s (no `Agent prompt` alias) — trivial inconsistency.","Add the bare-ID lint (cut `doc-truth` 5)."
104,"12 · Estate CI","CI ↔ every repo","estate-conformance.yml — daily 07:00 UTC","Programmed: CI","Daily cron + manual dispatch","`.github/workflows/estate-conformance.yml`","Fails early with a clear error if ESTATE_TOKEN (fine-grained PAT, Contents+Metadata read) is missing — the error text still says `See ticket ICM-005` (purged). Then runs estate-conformance.sh with the PAT; step summary lands in the Actions UI before the Lisbon workday.","Good schedule + honest-failure design; the dead ticket pointer is the one wart (report F9).","Replace ICM-005 text with the actual PAT instructions (cut `doc-truth` 5)."
105,"12 · Estate CI","CI ↔ every repo","estate-conformance.sh — the API vantage point","Programmed: script","The daily job; runnable locally","`_system/scripts/estate-conformance.sh`","Lists the authenticated account`s owned repos (archived/forks excluded; the estate is private so /users/ is useless); per repo: contents listings answer presence questions. MIRRORS icm-check`s severity model exactly (`two tools disagreeing about conformant is worse than one`): GAP = what --fix would seed (icm baseline, .claude baseline, canonical assets; importer+opencode.json only in AGENTS.md-carrying repos); warn = never auto-fixed (no Layer 0, no register, tracked settings.local, loose TODO). No `.icm/` at all = NOT ADOPTED (membership, not six gaps). Reports only, never writes. Pipeline-profile completeness + drift comparison deliberately left to the local script (API cost per file).","Good — the severity-mirror discipline and the not-adopted distinction are exactly right. Blind to everything OpenCode beyond opencode.json presence, and to `~/.config/opencode` entirely (report §6c).","—"
106,"12 · Estate CI","CI + local","D15 exit-code convention","Programmed: convention","Every conformance run","exit comments in both scripts; D15","Gaps exit 0 (a report`s CONTENT is not the report failing); only unreachable (no token / zero repos — `the report lying rather than reporting`) exits 2 and stays red. `An always-red schedule teaches you to stop reading it.`","Excellent — alarm-fatigue economics written into exit codes; sustentus`s advisory-exit-0 jobs share the philosophy.","—"
107,"12 · Estate tooling","Estate ↔ every repo","icm-check.sh — the disk vantage point + --fix","Programmed: script","`/icm-check`; stage 06; ad hoc","`_system/scripts/icm-check.sh`","Discovers repos (root + ≤2 levels; worktrees excluded by depth). Checks baseline (icm tree, .claude tree, canonical assets, root assets gated on AGENTS.md presence, pipeline assets gated on declared profile). WARNS (never fixes): canonical drift (byte-compare vs template), seeded-but-unwired hooks (`inert`), no Layer 0 / importer-pointing-at-nothing, no register (`/project has never run here`), N legacy flat tickets, `.gitignore` excluding .icm or .claude/settings.json, tracked settings.local.json, loose TODO/BACKLOG. --FIX: creates ONLY what`s missing (mkdir tree, .gitkeeps, template copies, chmod +x hooks), re-verifies its own writes, NEVER overwrites, never migrates Layer 0, never upgrades profiles. icm-board itself is checked like any repo (`a rule it exempts itself from is a rule it should delete`).","Excellent — the seed-never-overwrite + drift-warn design is the estate`s template law implemented exactly; self-binding included.","—"
108,"12 · Estate tooling","Estate ↔ every repo","ticket-hygiene.sh — the estate lint (local only)","Programmed: script","`/day` §1; ad hoc on Jamie`s machine","`_system/scripts/ticket-hygiene.sh`","Per repo (sustentus exempt): POSSIBLY-DONE — open slug/ID (≥6 chars, honesty guard against generic matches) appears in one of the last 300 commit subjects whose commit changed non-.icm files → names the commit for /day to judge. OFF-TICKET — commits in last 14 days, zero open tickets, not dormant. LEGACY-UNMIGRATED count. Contract lint: no-breakdown, slug-mismatch, no-sequence, no-lane, no-prompt (repos without /pipeline; accepts `Agent prompt` alias). today.md: unresolved entries, >10 dilution, stale-today (>1 day old, only when entries exist). Exit 1 on findings. FIXES NOTHING — /day applies with judgment.","Good lint set; the enforcement geometry is the problem — it runs only where /day runs it, i.e. currently never (report F4). Off-ticket lane is deal-state-blind (vinecliff/casey deliberately empty per their DEAL.md) — noise by design, judged by the human.","Ignite /day (launcher) or accept local-only consciously; add dormant-with-stubs check (cut `hygiene-holes` 1)."
109,"12 · Estate tooling","Estate ↔ every repo","tickets-board.sh — the terminal board","Programmed: script","SessionStart hook (--today); /day §1; ad hoc","`_system/scripts/tickets-board.sh`","Walks every repo`s `.icm/` (sustentus INCLUDED — the board reads everything; only writing tooling exempts it, but its runs/ are skipped — row 94). Groups: Today (from today.md) / In flight (runs/) / Blocked / Next (per-epic lowest unblocked sequence + all triage) / Queued. Parses both shapes. RESULT line with totals; warns >10 today.","Good — the terminal twin of the dashboard, same semantics. Serves part of the cross-estate-filter pain already (grep-able output).","—"
110,"12 · Estate tooling","Estate ↔ every repo","pull-all.sh — estate refresh","Programmed: script (manual)","Jamie runs it","`_system/scripts/pull-all.sh`","`git pull --ff-only` across root + all project repos; SKIPS detached HEAD, no-upstream, and DIRTY repos (never stashes/forces); prints per-repo delta; -n dry run.","Good — safe by construction (ff-only + dirty-skip).","—"
111,"12 · Estate tooling","Estate ↔ every repo","Template propagation law","Programmed: convention","Every --fix; every template edit","`_system/template/README.md`","Seed missing only · never overwrite · report drift never repair · the repo wins · no per-repo substitutions (copies are EXACT — that`s what makes the drift report honest) · edits propagate only to repos fixed AFTER the edit; NO retro-sync, deliberately — divergence stays visible instead of being resolved by fiat.","Good — the anti-sync philosophy is coherent and consistently implemented. Consequence to remember: fixing the intake README (row 41) reaches existing repos only when something else re-seeds them — estate-wide drift warnings are the visibility mechanism.","—"
112,"13 · Absent triggers (gaps)","Every repo","No pick-up resolver for intake repos","Gap","`what`s next in this repo?` asked at a terminal or in OpenCode","— (board`s nextOf + sustentus /pipeline new are the only implementations)","22 of 23 repos have no verb: resolution logic exists twice (board TS, sustentus skill) and is hand-simulated in the best stub prompts. Jamie names this as the OpenCode blocker and uses the unsupported terminal-first route today.","The highest-leverage missing trigger (report §6b).","Build `/next` (cut `pickup-verb`)."
113,"13 · Absent triggers (gaps)","OpenCode","No OpenCode-side estate commands / agents / board handoff","Gap","Any attempt to run the machine from OpenCode","— (zero `.opencode/` dirs estate-wide)","Rails + rules exist; commands, agents, and any launcher don`t. Skills cross automatically (row 34).","Confirmed as the adoption blocker (Jamie, rounds 1+3).","Port the thin layer (cut `opencode-operability`)."
114,"13 · Absent triggers (gaps)","Estate","No dormant-with-open-stubs lint","Gap","A dormant repo gains a stub without dropping the marker","—","The rule exists (row 79), violated twice within days of the marker`s introduction, invisible to every check.","Cheap to close (5 lines in hygiene).","Cut `hygiene-holes` 1."
115,"13 · Absent triggers (gaps)","Estate","No wrong-landing telemetry","Gap","A session builds the wrong thing","—","No record exists; Jamie could not name a specific case when asked directly. The failure is remembered as a pattern, not logged, so every future analysis re-argues from inference.","The grammar already has the fix: a triage-stub convention (`found-by: wrong-landing`).","Adopt the convention (report §4); costs one minute per incident."
116,"13 · Absent triggers (gaps)","Estate","Estate ticket-contract lint has no CI home","Gap","Contract drift in any repo between /day runs","— (hygiene is disk-based; projects/ absent in CI)","self-check covers icm-board on every push; the other 22 repos are linted only when /day runs locally. Options: accept consciously; run prompt/lane/sequence presence checks in estate-conformance over the API (~1 blob read per open stub per day ≈ 121/day — trivial vs 5k/hr).","Real hole while /day is not a habit; modest to close if wanted.","Decide: /day habit vs API-side lint extension (report F4)."
117,"13 · Absent triggers (gaps)","Estate","today.md has no living writer","Gap","Every morning","—","The flag`s three consumers (hook, board strip, hygiene) all work; the single producer (/day §3) has never run. The strip and the nag are dead weight until either a writer exists or the flag is retired.","Fidelity cuts both ways: ignite or retire (report §5/§8).","`Plan today` launcher first; retire honestly if unused after a month."
118,"13 · Absent triggers (gaps)","Estate","History exists, nothing reads it","Gap","Any throughput/cycle-time question","— (R100 event log in every repo`s git)","Open/close/drop dates, cycle time, throughput per repo per week — all derivable from renames; `_done/` never fetched by any surface.","The board`s missing metrics family, already paid for (report §3).","jamienisbet cut `board-queries` 2."
119,"13 · Absent triggers (gaps)","Global","`~/.config/opencode/` invisible to conformance and git","Gap","Any OpenCode config change","—","Model ladder, pinned plugin versions, and security reasoning live uncommitted; a machine loss loses decision history. A `.gitignore` prepared for tracking already sits in the directory, unused.","Half-made decision awaiting completion.","Version it (cut `opencode-operability` 5) — location Jamie`s call."
120,"2 · Repo session start","Some repos","Repo-owned ICM workspaces inside project repos","Prompted: contract (repo`s own)","A session works content/process tasks in a repo carrying its own ICM tree","agorasim `workspaces/` (GEO/marketing content factory: `_config/` holds brand voice+facts once, runs produce reviewable markdown → `web/src/content/generated/`); barzinho `01_negotiation/` + root CONTEXT.md (legacy deal workspace); remi-ai `pipeline/` (Gen-3 spec, 0 runs, superseded pending its migration decision — D12)","The repo-owns-its-semantics rule in the wild: these trees predate or sit beside the estate `.icm/` standard, are detected by the global ICM hook (row 25), and are followed per their own CONTEXT.md files — estate tooling neither checks nor touches them. agorasim`s is live (`configure the factory, not the product`); barzinho`s and remi-ai`s are dormant structures awaiting their repos` decisions.","Mixed — agorasim`s factory is the healthy case; barzinho`s legacy tree and remi-ai`s zero-run pipeline are structure-without-use that AUDIT already tracks (docs-vs-reality + open decision).","remi-ai keep-or-retire lands with its migration decision; barzinho tree review is part of its AUDIT items."
121,"10 · Sustentus (exempt)","Sustentus","Auxiliary CI: quality, review, digest, db","Programmed: CI (its own)","Pushes / schedules in sustentus","`sustentus/.github/workflows/`: quality.yaml, claude-code-review.yaml, daily-digest.yaml, db-audit.yaml, db-migrate.yaml","Beyond the pipeline workflows (rows 92–93): quality checks on push, an automated Claude code-review pass on PRs, a scheduled daily digest, scheduled DB audit, migration runner. All post-merge or advisory — none advances a gate.","Sustentus-owned; listed for completeness of the estate`s programmed surface. The daily-digest pattern is the nearest living relative of AUDIT #8`s wanted-but-unbuilt estate routines.","AUDIT #8 (estate scheduled routines) could crib from daily-digest when it gets a vehicle."
122,"7 · Deal pipeline","Estate","Knowledge-layer filling via the questionnaire","Prompted: contract","Jamie decides to fill/refresh `_system/knowledge/`","`_system/setup/questionnaire.md` (7 sections, concrete-examples-not-descriptions; done-log records each distribution)","Answers distribute into services/pricing/voice/terms/stack + sell references (target-profile, outreach); each file stamps its fill date + section provenance; deliberate gaps stay marked in-file (voice example pastes, app/AI standing inclusions, AI-SME channel — open since 2026-08-26). Amendments are deliberate, never mid-deal.","Good — ran once conversationally (2026-08-26), produced the real rate card in use. The remaining gaps are honest and waiting on real artifacts (next good reply/proposal) rather than invention.","Fill the voice example slots from the next reply/proposal Jamie likes (cheap, high-value for 01/04 drafting)."
